sequence_id,category,method,base_seed,seed,exact_match_accuracy,pairwise_order_accuracy,normalized_kendall_agreement,kendall_tau,inversion_count
sequence_5,DIY,continuity,50,54,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,50,55,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,50,55,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,50,56,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,50,56,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,60,60,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,60,60,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,60,61,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,60,61,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,60,62,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,60,62,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,60,63,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,60,63,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,60,64,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,60,64,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,60,65,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,60,65,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,60,66,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,60,66,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,70,70,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,70,70,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,70,71,0.0,0.0,0.0,-1.0,28.0
sequence_2,Plant Growth,continuity,70,71,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,70,72,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,70,72,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,70,73,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,70,73,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,70,74,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,70,74,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,70,75,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,70,75,0.0,0.75,0.75,0.5,7.0
