method,exact_match_accuracy,pairwise_order_accuracy,normalized_kendall_agreement,kendall_tau,inversion_count
continuity,0.0,0.29081632653061223,0.29081632653061223,-0.4183673469387755,19.857142857142858
greedy_nearest_neighbor,0.14285714285714285,0.6122448979591837,0.6122448979591837,0.22448979591836732,10.857142857142858
random,0.0,0.5,0.5,0.0,14.0
