sequence_id,forward_score,reverse_score,forward_minus_reverse,winner
sequence_1,5.094681143760681,5.094681143760681,0.0,tie
sequence_2,6.044985890388489,6.044985890388489,0.0,tie
sequence_3,5.015507638454437,5.015507638454437,0.0,tie
sequence_4,5.90565299987793,5.90565299987793,0.0,tie
sequence_5,5.380666971206665,5.380666971206665,0.0,tie
sequence_6,5.356212258338928,5.356212258338928,0.0,tie
sequence_7,5.315823614597321,5.315823614597321,0.0,tie
